Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
8/12/2009	13	Total	TP	49.30706794
8/14/2009	13	Total	TP	32.87848694
8/17/2009	13	Total	TP	42.36266587
8/19/2009	13	Total	TP	33.50748155
8/21/2009	13	Total	TP	42.06854628
8/24/2009	13	Total	TP	28.67593791
8/26/2009	13	Total	TP	32.76581374
8/28/2009	13	Total	TP	87.01255125
8/31/2009	13	Total	TP	70.64160203
9/2/2009	13	Total	TP	56.38490576
9/4/2009	13	Total	TP	50.83676074
9/7/2009	13	Total	TP	37.89365908
9/9/2009	13	Total	TP	34.91397192
9/11/2009	13	Total	TP	38.06182061
9/14/2009	13	Total	TP	35.98031479
9/16/2009	13	Total	TP	31.32195953
9/18/2009	13	Total	TP	53.20526561
9/21/2009	13	Total	TP	42.59410309
9/23/2009	13	Total	TP	40.08349665
9/25/2009	13	Total	TP	33.85213274
6/8/2009	14	Total	TP	30.14836449
6/10/2009	14	Total	TP	42.20576766
6/12/2009	14	Total	TP	36.78743254
6/15/2009	14	Total	TP	23.42730129
6/17/2009	14	Total	TP	27.8506379
6/19/2009	14	Total	TP	34.6929959
6/22/2009	14	Total	TP	31.25804581
6/24/2009	14	Total	TP	35.7590378
6/26/2009	14	Total	TP	46.7125858
6/29/2009	14	Total	TP	50.59124816
7/1/2009	14	Total	TP	42.77169288
7/3/2009	14	Total	TP	66.40563654
7/6/2009	14	Total	TP	58.75681977
7/8/2009	14	Total	TP	48.46014338
7/10/2009	14	Total	TP	45.26363544
7/13/2009	14	Total	TP	41.43363552
7/15/2009	14	Total	TP	40.54938972
7/17/2009	14	Total	TP	47.64303684
7/20/2009	14	Total	TP	38.63417169
7/22/2009	14	Total	TP	40.46087998
7/24/2009	14	Total	TP	41.0513431
7/27/2009	14	Total	TP	34.85182803
7/29/2009	14	Total	TP	27.67130065
7/31/2009	14	Total	TP	40.06297095
8/3/2009	14	Total	TP	41.82785953
8/5/2009	14	Total	TP	36.55679777
8/7/2009	14	Total	TP	46.33625997
8/10/2009	14	Total	TP	25.61936558
8/12/2009	14	Total	TP	31.66364427
8/14/2009	14	Total	TP	20.86519364
8/17/2009	14	Total	TP	26.55570099
8/19/2009	14	Total	TP	26.8692069
8/21/2009	14	Total	TP	38.44466402
8/24/2009	14	Total	TP	37.34174333
8/26/2009	14	Total	TP	45.29391899
8/28/2009	14	Total	TP	81.6237958
8/31/2009	14	Total	TP	67.16483414
9/2/2009	14	Total	TP	52.80243937
9/4/2009	14	Total	TP	47.25011811
9/7/2009	14	Total	TP	35.08672137
9/9/2009	14	Total	TP	31.83785105
9/11/2009	14	Total	TP	27.50561255
9/14/2009	14	Total	TP	37.31842567
9/16/2009	14	Total	TP	62.49405323
9/18/2009	14	Total	TP	48.57222282
9/21/2009	14	Total	TP	49.31948778
9/23/2009	14	Total	TP	44.73738578
9/25/2009	14	Total	TP	35.92169544
6/8/2009	15	Total	TP	11.32476636
6/10/2009	15	Total	TP	NA
6/12/2009	15	Total	TP	12.38038595
6/15/2009	15	Total	TP	12.6147007
6/17/2009	15	Total	TP	12.6147007
6/19/2009	15	Total	TP	18.54873048
6/22/2009	15	Total	TP	17.34649795
6/24/2009	15	Total	TP	12.37812847
6/26/2009	15	Total	TP	29.00564894
6/29/2009	15	Total	TP	14.50282447
7/1/2009	15	Total	TP	17.25875327
7/3/2009	15	Total	TP	31.81212431
7/6/2009	15	Total	TP	22.42494009
7/8/2009	15	Total	TP	22.63968089
7/10/2009	15	Total	TP	23.50227225
7/13/2009	15	Total	TP	26.46181764
7/15/2009	15	Total	TP	19.74578977
7/17/2009	15	Total	TP	33.7832443
7/20/2009	15	Total	TP	22.86865768
7/22/2009	15	Total	TP	20.23043999
7/24/2009	15	Total	TP	55.49859689
7/27/2009	15	Total	TP	20.84104289
7/29/2009	15	Total	TP	22.94266066
7/31/2009	15	Total	TP	37.94510464
8/3/2009	15	Total	TP	46.73891736
8/5/2009	15	Total	TP	25.37680622
8/7/2009	15	Total	TP	25.46122135
8/10/2009	15	Total	TP	16.92143282
8/12/2009	15	Total	TP	20.0063822
8/14/2009	15	Total	TP	16.12310417
8/17/2009	15	Total	TP	23.23623837
8/19/2009	15	Total	TP	21.969528
8/21/2009	15	Total	TP	40.3353852
8/24/2009	15	Total	TP	24.42181526
8/26/2009	15	Total	TP	26.82299458
8/28/2009	15	Total	TP	68.6273856
8/31/2009	15	Total	TP	70.64160203
9/2/2009	15	Total	TP	62.14800386
9/4/2009	15	Total	TP	49.58923287
9/7/2009	15	Total	TP	30.72037382
9/9/2009	15	Total	TP	30.14598457
9/11/2009	15	Total	TP	26.46485964
9/14/2009	15	Total	TP	27.20825457
9/16/2009	15	Total	TP	35.06860541
9/18/2009	15	Total	TP	75.7726676
9/21/2009	15	Total	TP	51.2623767
9/23/2009	15	Total	TP	56.14692041
9/25/2009	15	Total	TP	83.22598573
6/8/2009	16	Total	TP	9.947429907
6/10/2009	16	Total	TP	9.484442172
6/12/2009	16	Total	TP	14.67960048
6/15/2009	16	Total	TP	7.863709524
6/17/2009	16	Total	TP	11.79556429
6/19/2009	16	Total	TP	14.59853788
6/22/2009	16	Total	TP	14.94203289
6/24/2009	16	Total	TP	15.47266059
6/26/2009	16	Total	TP	18.55012432
6/29/2009	16	Total	TP	21.9228742
7/1/2009	16	Total	TP	21.01065615
7/3/2009	16	Total	TP	25.72783824
7/6/2009	16	Total	TP	43.81773502
7/8/2009	16	Total	TP	22.45257608
7/10/2009	16	Total	TP	27.68045398
7/13/2009	16	Total	TP	19.49818142
