Date	Well	Sample	Fraction	Rate	P-value	R2
6-26-09	D1	10	BR	8.92	1.67E-115	0.958
6-26-09	D2	13	BR	-0.86	5.52E-08	0.164
6-26-09	D3	14	BR	88.82	1.90E-181	0.993
6-26-09	D4	15	BR	10.40	7.40E-106	0.945
6-26-09	D5	16	BR	8.51	3.08E-106	0.946
6-26-09	D6	99	BR	12.06	1.22E-116	0.959
6-29-09	A1	3	PR	10.66	3.05E-140	0.978
6-29-09	A2	4	PR	3.33	2.08E-49	0.733
6-29-09	A3	5	PR	8.07	2.61E-86	0.904
6-29-09	A4	7	PR	20.50	3.78E-128	0.970
6-29-09	A5	8	PR	13.42	1.59E-138	0.977
6-29-09	A6	9	PR	9.78	2.02E-103	0.940
6-29-09	B1	10	PR	19.76	1.54E-136	0.976
6-29-09	B2	13	PR	21.93	2.36E-187	0.994
6-29-09	B3	14	PR	3.86	1.56E-51	0.748
6-29-09	B4	15	PR	38.55	7.33E-178	0.992
6-29-09	B5	16	PR	35.53	3.46E-161	0.988
6-29-09	B6	99	PR	1.52	8.29E-15	0.305
6-29-09	C1	3	BR	33.55	1.11E-173	0.991
6-29-09	C2	4	BR	7.88	1.43E-89	0.912
6-29-09	C3	5	BR	25.09	1.30E-167	0.990
6-29-09	C4	7	BR	21.87	6.49E-174	0.992
6-29-09	C5	8	BR	9.54	3.52E-111	0.952
6-29-09	C6	9	BR	15.70	3.13E-163	0.989
6-29-09	D1	10	BR	21.34	2.73E-180	0.993
6-29-09	D2	13	BR	13.41	4.95E-127	0.969
6-29-09	D3	14	BR	25.73	1.14E-182	0.993
6-29-09	D4	15	BR	14.64	4.81E-160	0.988
6-29-09	D5	16	BR	12.25	1.41E-135	0.975
6-29-09	D6	99	BR	-1.14	6.04E-10	0.207
7-1-09	A1	3	PR	14.91	8.06E-144	0.980
7-1-09	A2	4	PR	14.97	5.50E-138	0.977
7-1-09	A3	5	PR	0.92	2.63E-01	0.008
7-1-09	A4	7	PR	2.93	6.50E-50	0.736
7-1-09	A5	8	PR	-8.43	7.32E-117	0.959
7-1-09	A6	9	PR	10.98	5.75E-101	0.936
7-1-09	B1	10	PR	-3.97	6.07E-72	0.857
7-1-09	B2	13	PR	11.57	8.72E-126	0.968
7-1-09	B3	14	PR	11.03	1.82E-114	0.956
7-1-09	B4	15	PR	11.53	1.10E-134	0.975
7-1-09	B5	16	PR	2.13	1.43E-41	0.668
7-1-09	B6	99	PR	0.76	9.46E-08	0.158
7-1-09	C1	3	BR	7.37	2.47E-113	0.955
7-1-09	C2	4	BR	8.33	6.02E-117	0.959
7-1-09	C3	5	BR	2.81	8.03E-46	0.705
7-1-09	C4	7	BR	9.38	8.79E-113	0.954
7-1-09	C5	8	BR	2.59	1.98E-49	0.733
7-1-09	C6	9	BR	6.02	9.06E-82	0.891
7-1-09	D1	10	BR	9.99	2.00E-103	0.940
7-1-09	D2	13	BR	-0.84	1.21E-04	0.085
7-1-09	D3	14	BR	11.96	5.71E-112	0.953
7-1-09	D4	15	BR	13.68	1.16E-100	0.935
7-1-09	D5	16	BR	4.19	6.16E-16	0.326
7-1-09	D6	99	BR	-1.91	7.29E-23	0.443
7-3-09	A1	3	PR	11.42	1.57E-140	0.979
7-3-09	A2	4	PR	16.83	9.25E-121	0.964
7-3-09	A3	5	PR	17.66	3.47E-147	0.983
7-3-09	A4	7	PR	8.00	3.60E-24	0.465
7-3-09	A5	8	PR	12.10	2.69E-126	0.969
7-3-09	A6	9	PR	6.17	4.40E-14	0.293
7-3-09	B1	10	PR	12.00	3.02E-122	0.965
7-3-09	B2	13	PR	5.88	2.41E-66	0.834
7-3-09	B3	14	PR	13.43	1.11E-141	0.980
7-3-09	B4	15	PR	7.32	1.33E-86	0.906
7-3-09	B5	16	PR	39.54	6.20E-125	0.968
7-3-09	B6	99	PR	3.78	1.32E-41	0.670
7-3-09	C1	3	BR	20.09	8.70E-161	0.988
7-3-09	C2	4	BR	22.84	5.42E-152	0.985
7-3-09	C3	5	BR	20.57	1.27E-139	0.979
7-3-09	C4	7	BR	15.78	8.97E-63	0.817
7-3-09	C5	8	BR	24.18	1.07E-91	0.918
7-3-09	C6	9	BR	29.79	8.57E-157	0.987
7-3-09	D1	10	BR	21.20	3.63E-141	0.979
7-3-09	D2	13	BR	16.13	7.64E-94	0.923
7-3-09	D3	14	BR	32.30	4.92E-113	0.955
7-3-09	D4	15	BR	21.81	2.13E-116	0.959
7-3-09	D5	16	BR	33.85	1.84E-183	0.994
7-3-09	D6	99	BR	11.44	9.20E-63	0.817
7-6-09	A1	3	PR	21.30	1.34E-148	0.983
7-6-09	A2	4	PR	17.27	9.18E-115	0.957
7-6-09	A3	5	PR	28.74	7.96E-136	0.976
7-6-09	A4	7	PR	26.85	6.50E-144	0.981
7-6-09	A5	8	PR	20.00	2.79E-119	0.962
7-6-09	A6	9	PR	20.53	6.72E-168	0.990
7-6-09	B1	10	PR	39.11	1.76E-141	0.980
7-6-09	B2	13	PR	25.76	4.16E-151	0.984
7-6-09	B3	14	PR	22.91	3.26E-100	0.936
7-6-09	B4	15	PR	8.91	2.37E-61	0.810
7-6-09	B5	16	PR	31.85	4.00E-97	0.930
7-6-09	B6	99	PR	1.72	1.77E-09	0.198
7-6-09	C1	3	BR	21.87	2.01E-102	0.939
7-6-09	C2	4	BR	20.78	6.54E-124	0.967
7-6-09	C3	5	BR	14.45	2.35E-88	0.910
7-6-09	C4	7	BR	30.32	1.22E-128	0.971
7-6-09	C5	8	BR	17.34	5.99E-96	0.928
7-6-09	C6	9	BR	19.61	1.91E-90	0.915
7-6-09	D1	10	BR	19.75	2.79E-123	0.966
7-6-09	D2	13	BR	22.95	8.88E-119	0.962
7-6-09	D3	14	BR	27.51	6.01E-98	0.931
7-6-09	D4	15	BR	12.26	1.30E-99	0.935
7-6-09	D5	16	BR	11.02	1.33E-57	0.789
7-6-09	D6	99	BR	19.28	2.68E-43	0.685
7-8-09	A1	3	PR	20.71	2.41E-175	0.992
7-8-09	A2	4	PR	11.77	2.23E-147	0.982
7-8-09	A3	5	PR	14.58	8.05E-157	0.986
7-8-09	A4	7	PR	12.64	5.71E-147	0.982
7-8-09	A5	8	PR	11.33	6.76E-129	0.970
7-8-09	A6	9	PR	7.40	5.26E-98	0.930
7-8-09	B1	10	PR	19.96	4.13E-156	0.986
7-8-09	B2	13	PR	21.98	2.17E-164	0.989
7-8-09	B3	14	PR	5.51	8.35E-73	0.860
7-8-09	B4	15	PR	10.67	2.83E-145	0.981
7-8-09	B5	16	PR	30.63	2.20E-182	0.993
7-8-09	B6	99	PR	-0.61	8.28E-06	0.113
7-8-09	C1	3	BR	17.40	1.31E-175	0.992
7-8-09	C2	4	BR	21.95	2.35E-142	0.980
7-8-09	C3	5	BR	15.30	1.72E-148	0.983
7-8-09	C4	7	BR	12.30	3.93E-142	0.980
7-8-09	C5	8	BR	11.70	1.29E-136	0.976
7-8-09	C6	9	BR	15.85	8.14E-134	0.974
7-8-09	D1	10	BR	7.38	6.31E-112	0.953
7-8-09	D2	13	BR	10.48	5.01E-110	0.950
7-8-09	D3	14	BR	0.19	5.02E-01	0.003
7-8-09	D4	15	BR	2.20	1.93E-13	0.279
7-8-09	D5	16	BR	14.00	2.40E-136	0.976
7-8-09	D6	99	BR	-0.32	1.02E-03	0.063
7-10-09	A1	3	PR	19.79	1.43E-148	0.983
7-10-09	A2	4	PR	22.90	1.06E-164	0.989
7-10-09	A3	5	PR	37.04	2.39E-186	0.994
7-10-09	A4	7	PR	62.41	3.00E-164	0.989
7-10-09	A5	8	PR	22.36	1.17E-174	0.992
7-10-09	A6	9	PR	26.57	7.60E-101	0.937
7-10-09	B1	10	PR	39.44	1.14E-190	0.995
7-10-09	B2	13	PR	44.09	5.50E-173	0.992
7-10-09	B3	14	PR	14.53	1.51E-121	0.965
7-10-09	B4	15	PR	13.43	1.50E-116	0.959
7-10-09	B5	16	PR	56.32	5.00E-174	0.992
7-10-09	B6	99	PR	2.28	1.55E-26	0.499
7-10-09	C1	3	BR	17.58	3.11E-144	0.981
7-10-09	C2	4	BR	18.75	5.84E-129	0.971
7-10-09	C3	5	BR	19.93	4.71E-140	0.979
7-10-09	C4	7	BR	23.71	3.15E-132	0.974
7-10-09	C5	8	BR	18.10	3.35E-107	0.947
7-10-09	C6	9	BR	26.56	9.21E-92	0.919
7-10-09	D1	10	BR	28.18	2.63E-154	0.986
7-10-09	D2	13	BR	20.99	4.62E-150	0.984
7-10-09	D3	14	BR	20.39	9.93E-115	0.957
7-10-09	D4	15	BR	21.10	4.29E-112	0.954
7-10-09	D5	16	BR	27.61	4.17E-138	0.978
7-10-09	D6	99	BR	13.87	6.01E-49	0.731
7-13-09	A1	3	PR	18.19	1.26E-187	0.994
7-13-09	A2	4	PR	10.07	5.79E-132	0.973
7-13-09	A3	5	PR	17.54	3.59E-93	0.920
7-13-09	A4	7	PR	83.11	4.64E-109	0.949
7-13-09	A5	8	PR	17.39	5.05E-148	0.983
7-13-09	A6	9	PR	22.54	7.51E-104	0.941
7-13-09	B1	10	PR	26.64	5.66E-150	0.984
7-13-09	B2	13	PR	66.49	2.62E-159	0.987
7-13-09	B3	14	PR	10.38	5.76E-128	0.970
7-13-09	B4	15	PR	24.63	1.65E-155	0.986
