Date	Pond	Total/Dissolved	Analyte	Concentration (ppm)
6/10/09	16	Total	TN	0.39
6/10/09	3	Total	TN	0.15
6/10/09	4	Total	TN	0.18
6/10/09	5	Total	TN	0.29
6/10/09	7	Total	TN	0.32
6/10/09	8	Total	TN	0.39
6/10/09	9	Total	TN	0.57
6/10/09	10	Total	TN	0.20
6/10/09	13	Total	TN	0.16
6/10/09	14	Total	TN	0.44
6/10/09	15	Total	TN	0.41
6/10/09	16	Total	TN	0.21
6/12/09	3	Total	TN	0.21
6/12/09	4	Total	TN	0.29
6/12/09	5	Total	TN	0.71
6/12/09	7	Total	TN	0.50
6/12/09	8	Total	TN	0.21
6/12/09	9	Total	TN	0.45
6/12/09	10	Total	TN	0.28
6/12/09	13	Total	TN	0.50
6/12/09	14	Total	TN	0.49
6/12/09	15	Total	TN	0.28
6/12/09	16	Total	TN	0.50
6/15/09	3	Total	TN	0.24
6/15/09	4	Total	TN	NA
6/15/09	5	Total	TN	0.34
6/15/09	7	Total	TN	0.41
6/15/09	8	Total	TN	0.32
6/15/09	9	Total	TN	0.33
6/15/09	10	Total	TN	0.24
6/15/09	13	Total	TN	0.37
6/15/09	14	Total	TN	0.49
6/15/09	15	Total	TN	0.35
6/15/09	16	Total	TN	0.51
6/17/09	3	Total	TN	0.14
6/17/09	4	Total	TN	0.16
6/17/09	5	Total	TN	0.18
6/17/09	7	Total	TN	0.22
6/17/09	8	Total	TN	0.17
6/17/09	8	Total	TN	0.20
6/17/09	9	Total	TN	0.24
6/17/09	10	Total	TN	0.16
6/17/09	13	Total	TN	0.32
6/17/09	14	Total	TN	0.35
6/17/09	15	Total	TN	0.21
6/17/09	16	Total	TN	0.39
6/19/09	3	Total	TN	0.16
6/19/09	4	Total	TN	0.27
6/19/09	5	Total	TN	0.18
6/19/09	7	Total	TN	0.26
6/19/09	9	Total	TN	0.14
6/19/09	10	Total	TN	0.18
6/19/09	13	Total	TN	0.29
6/19/09	14	Total	TN	0.46
6/19/09	15	Total	TN	0.18
6/19/09	16	Total	TN	0.40
6/22/09	3	Total	TN	0.23
6/22/09	4	Total	TN	0.25
6/22/09	5	Total	TN	0.24
6/22/09	7	Total	TN	0.36
6/22/09	8	Total	TN	0.27
6/22/09	9	Total	TN	0.32
6/22/09	10	Total	TN	0.21
6/22/09	13	Total	TN	0.38
6/22/09	14	Total	TN	0.47
6/22/09	15	Total	TN	0.23
6/22/09	16	Total	TN	0.49
6/24/09	3	Total	TN	0.14
6/24/09	4	Total	TN	0.23
6/24/09	5	Total	TN	0.18
6/24/09	7	Total	TN	0.19
6/24/09	8	Total	TN	0.32
6/24/09	9	Total	TN	0.26
6/24/09	10	Total	TN	0.19
6/24/09	13	Total	TN	0.34
6/24/09	14	Total	TN	0.37
6/24/09	15	Total	TN	0.22
6/24/09	16	Total	TN	0.47
6/26/09	3	Total	TN	0.28
6/26/09	4	Total	TN	0.30
6/26/09	5	Total	TN	0.23
6/26/09	7	Total	TN	0.45
6/26/09	8	Total	TN	0.24
6/26/09	9	Total	TN	0.25
6/26/09	10	Total	TN	0.21
6/26/09	13	Total	TN	0.48
6/26/09	14	Total	TN	0.46
6/26/09	15	Total	TN	0.34
6/26/09	16	Total	TN	0.48
6/29/09	3	Total	TN	0.30
6/29/09	4	Total	TN	0.24
6/29/09	5	Total	TN	0.25
6/29/09	7	Total	TN	0.40
6/29/09	8	Total	TN	0.23
6/29/09	9	Total	TN	0.26
6/29/09	10	Total	TN	0.27
6/29/09	13	Total	TN	0.38
6/29/09	14	Total	TN	0.46
6/29/09	15	Total	TN	0.26
6/29/09	16	Total	TN	0.53
7/1/09	3	Total	TN	0.31
7/1/09	4	Total	TN	0.28
7/1/09	5	Total	TN	0.25
7/1/09	7	Total	TN	0.50
7/1/09	8	Total	TN	0.28
7/1/09	9	Total	TN	0.41
7/1/09	10	Total	TN	0.24
7/1/09	13	Total	TN	0.44
7/1/09	14	Total	TN	0.50
7/1/09	15	Total	TN	0.31
7/1/09	16	Total	TN	0.61
7/3/09	3	Total	TN	0.29
7/3/09	4	Total	TN	0.25
7/3/09	5	Total	TN	0.20
7/3/09	7	Total	TN	0.37
7/3/09	8	Total	TN	0.28
7/3/09	9	Total	TN	0.27
7/3/09	10	Total	TN	0.19
7/3/09	13	Total	TN	0.43
7/3/09	14	Total	TN	0.49
7/3/09	15	Total	TN	0.35
7/3/09	16	Total	TN	0.75
7/6/09	3	Total	TN	0.26
7/6/09	4	Total	TN	0.25
7/6/09	5	Total	TN	0.29
7/6/09	7	Total	TN	0.69
7/6/09	8	Total	TN	0.27
7/6/09	9	Total	TN	0.29
7/6/09	10	Total	TN	0.24
7/6/09	13	Total	TN	0.47
7/6/09	14	Total	TN	0.49
7/6/09	15	Total	TN	0.33
7/6/09	16	Total	TN	0.57
7/8/09	3	Total	TN	0.32
7/8/09	4	Total	TN	0.34
7/8/09	5	Total	TN	0.26
7/8/09	7	Total	TN	0.52
7/8/09	8	Total	TN	0.33
7/8/09	9	Total	TN	0.28
7/8/09	10	Total	TN	0.21
7/8/09	13	Total	TN	0.38
7/8/09	14	Total	TN	0.46
7/8/09	15	Total	TN	0.31
7/8/09	16	Total	TN	0.42
